date,close,volume,open,high,low
2019/08/23,212.46,22267819,213.3,214.435,210.75
2019/08/22,212.46,22267820,213.19,214.435,210.75
2019/08/21,212.64,21564750,212.99,213.65,211.6032
2019/08/20,210.36,26919530,210.88,213.35,210.32
2019/08/19,210.35,24431920,210.62,212.7307,210.025
2019/08/16,206.5,28813620,204.28,207.16,203.84
2019/08/15,201.74,27883360,203.46,205.14,199.67
2019/08/14,202.75,36547440,203.16,206.44,202.5869
2019/08/13,208.97,47539790,201.02,212.14,200.83
2019/08/12,200.48,22481890,199.62,202.0516,199.15
2019/08/09,200.99,24619750,201.3,202.76,199.29
2019/08/08,203.43,27009520,200.2,203.53,199.39
2019/08/07,199.04,33364400,195.41,199.56,193.82
2019/08/06,197,35824790,196.31,198.067,194.04
2019/08/05,193.34,52392970,197.99,198.649,192.58
2019/08/02,204.02,40862120,205.53,206.43,201.63
2019/08/01,208.43,54017920,213.9,218.03,206.7435
2019/07/31,213.04,69281360,216.42,221.37,211.3
2019/07/30,208.78,33935720,208.76,210.16,207.31
2019/07/29,209.68,21673390,208.46,210.64,208.44
2019/07/26,207.74,17618870,207.48,209.73,207.14
2019/07/25,207.02,13909560,208.89,209.24,206.73
2019/07/24,208.67,14991570,207.67,209.15,207.17
2019/07/23,208.84,18355210,208.46,208.91,207.29
2019/07/22,207.22,22277930,203.65,207.23,203.61
2019/07/19,202.59,20929310,205.79,206.5,202.36
2019/07/18,205.66,18582160,204,205.88,203.7
2019/07/17,203.35,14107450,204.05,205.0915,203.27
2019/07/16,204.5,16866820,204.59,206.11,203.5
2019/07/15,205.21,16947420,204.09,205.87,204
2019/07/12,203.3,17595210,202.45,204,202.2
2019/07/11,201.75,20191840,203.31,204.39,201.71
2019/07/10,203.23,17897140,201.85,203.73,201.56
2019/07/09,201.24,20578020,199.2,201.51,198.81
2019/07/08,200.02,25338630,200.81,201.4,198.41
2019/07/05,204.23,17265520,203.35,205.08,202.9
2019/07/03,204.41,11362050,203.28,204.44,202.6901
2019/07/02,202.73,16935220,201.41,203.1323,201.36
2019/07/01,201.55,27316740,203.17,204.49,200.65
2019/06/28,197.92,31110640,198.68,199.495,197.05
2019/06/27,199.74,20899720,200.29,201.57,199.57
2019/06/26,199.8,26067510,197.77,200.99,197.35
2019/06/25,195.57,21070330,198.43,199.26,195.29
2019/06/24,198.58,18220420,198.54,200.16,198.17
2019/06/21,198.78,47800590,198.8,200.85,198.15
2019/06/20,199.46,21513990,200.37,200.61,198.03
2019/06/19,197.87,21124240,199.68,199.88,197.31
2019/06/18,198.45,26551000,196.05,200.29,195.21
2019/06/17,193.89,14669140,192.9,194.96,192.17
2019/06/14,192.74,18761470,191.545,193.5863,190.3
2019/06/13,194.15,21674630,194.7,196.79,193.6
2019/06/12,194.19,18253190,193.95,195.97,193.385
2019/06/11,194.81,26932880,194.86,196,193.6
2019/06/10,192.58,26220850,191.81,195.37,191.62
2019/06/07,190.15,30684390,186.51,191.92,185.77
2019/06/06,185.22,22526310,183.08,185.47,182.1489
2019/06/05,182.54,29773430,184.28,184.99,181.14
2019/06/04,179.64,30967960,175.44,179.83,174.52
2019/06/03,173.3,40396070,175.6,177.92,170.27
2019/05/31,175.07,27043580,176.23,177.99,174.99
2019/05/30,178.3,21218410,177.95,179.23,176.67
2019/05/29,177.38,28481170,176.42,179.35,176
2019/05/28,178.23,27948160,178.92,180.59,177.91
2019/05/24,178.97,23714690,180.2,182.14,178.62
2019/05/23,179.66,36529740,179.8,180.54,177.81
2019/05/22,182.78,29748560,184.66,185.71,182.55
2019/05/21,186.6,28364850,185.22,188,184.7
2019/05/20,183.09,38612290,183.52,184.349,180.2839
2019/05/17,189,32879090,186.93,190.9,186.76
2019/05/16,190.08,33031360,189.91,192.4689,188.84
2019/05/15,190.92,26544720,186.27,191.75,186.02
2019/05/14,188.66,36529680,186.41,189.7,185.41
2019/05/13,185.72,57430620,187.71,189.48,182.85
2019/05/10,197.18,41208710,197.419,198.85,192.77
2019/05/09,200.72,34908610,200.4,201.68,196.66
2019/05/08,202.9,26339500,201.9,205.34,201.75
2019/05/07,202.86,38763700,205.88,207.4175,200.825
2019/05/06,208.48,32443110,204.29,208.84,203.5
2019/05/03,211.75,20892380,210.89,211.84,210.23
2019/05/02,209.15,31996320,209.84,212.65,208.13
2019/05/01,210.52,64827330,209.88,215.31,209.23
2019/04/30,200.67,45751160,203.06,203.4,199.11
2019/04/29,204.61,22010360,204.4,205.97,203.86
2019/04/26,204.3,18612770,204.9,205,202.12
2019/04/25,205.28,18463850,206.83,207.76,205.12
2019/04/24,207.16,17427570,207.36,208.48,207.05
2019/04/23,207.48,23286380,204.43,207.75,203.9
2019/04/22,204.53,17841920,202.83,204.94,202.34
2019/04/18,203.86,24185530,203.12,204.15,202.52
2019/04/17,203.13,28865310,199.54,203.38,198.61
2019/04/16,199.25,25668330,199.46,201.37,198.56
2019/04/15,199.23,17524150,198.58,199.85,198.01
2019/04/12,198.87,27738580,199.2,200.14,196.21
2019/04/11,198.95,20543190,200.85,201,198.4431
2019/04/10,200.62,21654750,198.68,200.74,198.18
2019/04/09,199.5,35738280,200.32,202.85,199.23
2019/04/08,200.1,25829880,196.42,200.23,196.34
2019/04/05,197,18473070,196.45,197.1,195.93
2019/04/04,195.69,19090050,194.79,196.37,193.14
2019/04/03,195.35,23243160,193.25,196.5,193.15
2019/04/02,194.02,22727370,191.09,194.46,191.05
2019/04/01,191.24,27308200,191.64,191.68,188.38
2019/03/29,189.95,23524830,189.83,190.08,188.54
2019/03/28,188.72,20710390,188.95,189.559,187.53
2019/03/27,188.47,29771210,188.75,189.76,186.55
2019/03/26,186.79,49696100,191.664,192.88,184.58
2019/03/25,188.74,43751810,191.51,191.98,186.6
2019/03/22,191.05,42287640,195.34,197.69,190.78
2019/03/21,195.09,50943120,190.02,196.33,189.81
2019/03/20,188.16,31003380,186.23,189.49,184.73
2019/03/19,186.53,31440300,188.35,188.99,185.92
2019/03/18,188.02,26148590,185.8,188.39,185.79
2019/03/15,186.12,39017490,184.85,187.33,183.74
2019/03/14,183.73,23527660,183.9,184.1,182.56
2019/03/13,181.71,30929740,182.25,183.3,180.92
2019/03/12,180.91,32416800,180,182.67,179.37
2019/03/11,178.9,31123000,175.49,179.12,175.35
2019/03/08,172.91,23985960,170.32,173.07,169.5
2019/03/07,172.5,24755470,173.87,174.44,172.02
2019/03/06,174.52,20755140,174.67,175.49,173.94
2019/03/05,175.53,19238480,175.94,176,174.54
2019/03/04,175.85,27413060,175.69,177.75,173.97
2019/03/01,174.97,25737560,174.28,175.15,172.89
2019/02/28,173.15,27953810,174.32,174.91,172.92
2019/02/27,174.87,27817640,173.21,175,172.73
2019/02/26,174.33,16991610,173.71,175.3,173.1732
2019/02/25,174.23,21846400,174.16,175.87,173.95
2019/02/22,172.97,18890250,171.58,173,171.38
2019/02/21,171.06,17154540,171.8,172.37,170.3
2019/02/20,172.03,25323890,171.19,173.32,170.99
2019/02/19,170.93,18958570,169.71,171.44,169.49
2019/02/15,170.42,24603320,171.25,171.7,169.75
2019/02/14,170.8,21785180,169.71,171.2615,169.38
2019/02/13,170.18,22389660,171.39,172.48,169.92
2019/02/12,170.89,22224400,170.1,171,169.7
2019/02/11,169.43,20940020,171.05,171.21,169.25
2019/02/08,170.41,23793830,168.99,170.66,168.42
2019/02/07,170.94,31644240,172.4,173.94,170.34
2019/02/06,174.24,28204640,174.65,175.57,172.8531
2019/02/05,174.18,36054570,172.86,175.08,172.3501
2019/02/04,171.25,31384720,167.41,171.655,167.28
2019/02/01,166.52,32644590,166.96,168.98,165.93
2019/01/31,166.44,40613260,166.11,169,164.56
2019/01/30,165.25,60800480,163.25,166.15,160.23
2019/01/29,154.68,39914850,156.25,158.13,154.11
2019/01/28,156.3,26147280,155.79,156.33,153.66
2019/01/25,157.76,33508960,155.48,158.13,154.32
2019/01/24,152.7,25418110,154.11,154.48,151.74
2019/01/23,153.92,23046560,154.15,155.14,151.7
2019/01/22,153.3,30273990,156.41,156.73,152.62
2019/01/18,156.82,33259460,157.5,157.88,155.9806
2019/01/17,155.86,29616190,154.2,157.66,153.26
2019/01/16,154.94,30483120,153.08,155.88,153
2019/01/15,153.07,28449940,150.27,153.39,150.05
2019/01/14,150,32018540,150.85,151.27,149.22
2019/01/11,152.29,26924630,152.88,153.7,151.51
2019/01/10,153.8,35661200,152.5,153.97,150.86
2019/01/09,153.31,45034370,151.29,154.53,149.63
2019/01/08,150.75,40622910,149.56,151.82,148.52
2019/01/07,147.93,54571440,148.7,148.83,145.9
2019/01/04,148.26,57423650,144.53,148.5499,143.8
2019/01/03,142.19,91106840,143.98,145.72,142
2019/01/02,157.92,35637070,154.89,158.85,154.23
2018/12/31,157.74,34499390,158.53,159.36,156.48
2018/12/28,156.23,41740600,157.5,158.52,154.55
2018/12/27,156.15,51608850,155.84,156.77,150.07
2018/12/26,157.17,58133850,148.3,157.23,146.72
2018/12/24,146.83,37169230,148.15,151.55,146.59
2018/12/21,150.73,95497900,156.86,158.16,149.63
2018/12/20,156.83,64398230,160.4,162.11,155.3
2018/12/19,160.89,47597670,166,167.45,159.09
2018/12/18,166.07,33753490,165.38,167.53,164.39
2018/12/17,163.94,43250420,165.45,168.35,162.73
2018/12/14,165.48,40620360,169,169.08,165.28
2018/12/13,170.95,31754210,170.49,172.57,169.55
2018/12/12,169.1,35474680,170.4,171.92,169.02
2018/12/11,168.63,45968040,171.66,171.79,167
2018/12/10,169.6,61759000,165,170.09,163.33
2018/12/07,168.49,41678680,173.49,174.49,168.3
2018/12/06,174.72,42704910,171.76,174.78,170.42
2018/12/04,176.69,41141250,180.95,182.3899,176.27
2018/12/03,184.82,40537700,184.46,184.94,181.21
2018/11/30,178.58,39424260,180.29,180.33,177.03
2018/11/29,179.55,41523580,182.66,182.8,177.7
2018/11/28,180.94,45941750,176.73,181.29,174.93
2018/11/27,174.24,41156140,171.51,174.77,170.88
2018/11/26,174.62,44662320,174.24,174.95,170.26
2018/11/23,172.29,23623970,174.94,176.595,172.1
2018/11/21,176.78,31096240,179.73,180.27,176.55
2018/11/20,176.98,67678680,178.37,181.47,175.51
2018/11/19,185.86,41626820,190,190.7,184.99
2018/11/16,193.53,36191330,190.5,194.9695,189.46
2018/11/15,191.41,46271660,188.39,191.97,186.9
2018/11/14,186.8,60547340,193.9,194.48,185.93
2018/11/13,192.23,46725710,191.63,197.18,191.4501
2018/11/12,194.17,50991030,199,199.85,193.79
2018/11/09,204.47,34317760,205.55,206.01,202.25
2018/11/08,208.49,25289270,209.98,210.12,206.75
2018/11/07,209.95,33291640,205.97,210.06,204.13
2018/11/06,203.77,31774720,201.92,204.72,201.69
2018/11/05,201.59,66072170,204.3,204.39,198.17
2018/11/02,207.48,91046560,209.55,213.65,205.43
2018/11/01,222.22,52954070,219.05,222.36,216.81
2018/10/31,218.86,38016810,216.88,220.45,216.62
2018/10/30,213.3,36487930,211.15,215.18,209.27
2018/10/29,212.24,45713690,219.19,219.69,206.09
2018/10/26,216.3,47191700,215.9,220.19,212.67
2018/10/25,219.8,29027340,217.71,221.38,216.75
2018/10/24,215.09,39992120,222.6,224.23,214.54
2018/10/23,222.73,38681170,215.83,223.25,214.7
2018/10/22,220.65,28751540,219.79,223.36,218.94
2018/10/19,219.31,32874330,218.06,221.26,217.43
2018/10/18,216.02,32389280,217.86,219.74,213
2018/10/17,221.19,22692880,222.3,222.64,219.34
2018/10/16,222.15,28802550,218.93,222.99,216.7627
2018/10/15,217.36,30280450,221.16,221.83,217.27
2018/10/12,222.11,39494770,220.42,222.88,216.84
2018/10/11,214.45,52902320,214.52,219.5,212.32
2018/10/10,216.36,41084070,225.46,226.35,216.05
2018/10/09,226.87,26656630,223.64,227.27,222.2462
2018/10/08,223.77,28784550,222.21,224.8,220.2
2018/10/05,224.29,33507770,227.96,228.41,220.58
2018/10/04,227.99,31961120,230.78,232.35,226.73
2018/10/03,232.07,28540490,230.05,233.47,229.78
2018/10/02,229.28,24435010,227.25,230,226.63
2018/10/01,227.26,23171020,227.95,229.42,226.35
2018/09/28,225.74,22560440,224.79,225.84,224.02
2018/09/27,224.95,29729270,223.82,226.44,223.54
2018/09/26,220.42,23430370,221,223.75,219.76
2018/09/25,222.19,22811140,219.75,222.82,219.7
2018/09/24,220.79,27581270,216.82,221.26,216.63
2018/09/21,217.66,95584080,220.78,221.36,217.29
2018/09/20,220.03,26388050,220.24,222.28,219.15
2018/09/19,218.37,26869880,218.5,219.62,215.3
2018/09/18,218.24,31495630,217.79,221.85,217.12
2018/09/17,217.88,36810120,222.15,222.95,217.27
2018/09/14,223.84,31801970,225.75,226.84,222.522
2018/09/13,226.41,41411350,223.52,228.35,222.57
2018/09/12,221.07,49118510,224.94,225,219.84
2018/09/11,223.85,35644510,218.01,224.299,216.56
2018/09/10,218.33,39194720,220.95,221.85,216.47
2018/09/07,221.3,37418910,221.85,225.37,220.71
2018/09/06,223.1,34121240,226.23,227.35,221.3
2018/09/05,226.87,33290830,228.99,229.67,225.1
2018/09/04,228.36,27363960,228.41,229.18,226.63
2018/08/31,227.63,43177540,226.51,228.87,226
2018/08/30,225.03,48696960,223.25,228.26,222.4
2018/08/29,222.98,27074260,220.15,223.49,219.41
2018/08/28,219.7,22751390,219.01,220.54,218.92
2018/08/27,217.94,20400770,217.15,218.74,216.33
2018/08/24,216.16,18457720,216.6,216.9,215.11
2018/08/23,215.49,18505780,214.65,217.05,214.6
2018/08/22,215.05,18965930,214.1,216.36,213.84
